Scenario,Perturbation,Latency,Count,Tick
PrivacyPreserving,"('station0', 0)",31.52,1,48.88
PrivacyPreserving,"('station0', 1)",34.2,1,148.88
PrivacyPreserving,"('station0', 2)",38.88,1,248.88
PrivacyPreserving,"('station0', 3)",28.76,1,348.88
PrivacyPreserving,"('station0', 4)",30.16,1,448.88
PrivacyPreserving,"('station0', 5)",44.96,1,548.88
PrivacyPreserving,"('station0', 6)",38.44,1,648.88
PrivacyPreserving,"('station0', 7)",40.56,1,748.88
PrivacyPreserving,"('station0', 8)",39.16,1,848.88
PrivacyPreserving,"('station0', 9)",42.2,1,948.88
PrivacyPreserving,"('station0', 10)",37.8,1,1048.88
PrivacyPreserving,"('station0', 11)",35.88,0.96,1148.88
PrivacyPreserving,"('station0', 12)",50.28,1,1248.88
PrivacyPreserving,"('station0', 13)",41.36,1,1348.88
PrivacyPreserving,"('station0', 14)",50.72,1,1448.88
PrivacyPreserving,"('station0', 15)",40.48,1,1548.88
PrivacyPreserving,"('station0', 16)",34.16,1,1648.88
PrivacyPreserving,"('station0', 17)",45.2,1,1748.88
PrivacyPreserving,"('station0', 18)",38.0,1,1848.88
PrivacyPreserving,"('station0', 19)",24.24,0.8,1948.88
DynamicNetwork,"('station0', 0)",33.76382074060393,50.12,53.0
DynamicNetwork,"('station0', 1)",33.70449415766306,50.08,153.0
DynamicNetwork,"('station0', 2)",33.61712244282328,50.12,253.0
DynamicNetwork,"('station0', 3)",33.63325894299664,50.04,353.0
DynamicNetwork,"('station0', 4)",33.79074442818044,49.96,453.0
DynamicNetwork,"('station0', 5)",33.74440711749358,50.04,553.0
DynamicNetwork,"('station0', 6)",33.99655421716226,49.92,653.0
DynamicNetwork,"('station0', 7)",33.82037949120033,49.8,753.0
DynamicNetwork,"('station0', 8)",33.91148463682855,49.8,853.0
DynamicNetwork,"('station0', 9)",34.01967383169667,49.84,953.0
DynamicNetwork,"('station0', 10)",34.24448363212794,50.2,1053.0
DynamicNetwork,"('station0', 11)",34.04031651804741,49.88,1153.0
DynamicNetwork,"('station0', 12)",34.216673450630324,50.04,1253.0
DynamicNetwork,"('station0', 13)",34.06315813611326,50.12,1353.0
DynamicNetwork,"('station0', 14)",34.01587896419057,50.24,1453.0
DynamicNetwork,"('station0', 15)",34.15893118756331,50.2,1553.0
DynamicNetwork,"('station0', 16)",34.168140074938684,50.36,1653.0
DynamicNetwork,"('station0', 17)",33.76768060121487,50.44,1753.0
DynamicNetwork,"('station0', 18)",33.858354645353145,50.4,1853.0
DynamicNetwork,"('station0', 19)",23.787408232793087,34.2,1953.0
PerfectConditions,"('station0', 0)",33.56373525410164,50.4,52.88
PerfectConditions,"('station0', 1)",33.602083220980695,50.44,152.84
PerfectConditions,"('station0', 2)",33.60307583033213,50.48,252.84
PerfectConditions,"('station0', 3)",33.62424374057316,50.36,352.84
PerfectConditions,"('station0', 4)",33.72978605084995,50.36,452.84
PerfectConditions,"('station0', 5)",33.819675557828354,50.32,552.84
PerfectConditions,"('station0', 6)",33.5799202876877,50.04,652.84
PerfectConditions,"('station0', 7)",33.824857381157706,50,752.84
PerfectConditions,"('station0', 8)",33.64832722191801,50,852.84
PerfectConditions,"('station0', 9)",33.773300822144,49.92,952.84
PerfectConditions,"('station0', 10)",33.676470803984124,49.88,1052.84
PerfectConditions,"('station0', 11)",34.09495965228942,49.68,1152.84
PerfectConditions,"('station0', 12)",33.945459780279606,49.92,1252.84
PerfectConditions,"('station0', 13)",33.99609271901873,49.88,1352.84
PerfectConditions,"('station0', 14)",34.05700914196389,50.08,1452.84
PerfectConditions,"('station0', 15)",33.7724536767938,50.16,1552.84
PerfectConditions,"('station0', 16)",33.93550068389347,50.16,1652.84
PerfectConditions,"('station0', 17)",33.81385228699232,50.16,1752.84
PerfectConditions,"('station0', 18)",33.85928892586996,50.24,1852.84
PerfectConditions,"('station0', 19)",20.801273534074763,29.4,1952.84
PerfectConditions,"('station0', 20)",0,0,2000.0
RecoveringLoss,"('station0', 0)",122.68169807368112,55.16,45.0
RecoveringLoss,"('station0', 1)",115.58911071466194,54.64,145.0
RecoveringLoss,"('station0', 2)",104.20448770612597,53.72,245.0
RecoveringLoss,"('station0', 3)",66.89502328186194,52.52,345.0
RecoveringLoss,"('station0', 4)",61.01523767798396,52.52,445.0
RecoveringLoss,"('station0', 5)",71.83744254785034,53.08,545.0
RecoveringLoss,"('station0', 6)",77.39052531186286,53.36,645.0
RecoveringLoss,"('station0', 7)",72.53059314967656,53.08,745.0
RecoveringLoss,"('station0', 8)",67.51752850040958,52.76,845.0
RecoveringLoss,"('station0', 9)",63.00748864106197,52.52,945.0
RecoveringLoss,"('station0', 10)",59.569289343064774,52.24,1045.0
RecoveringLoss,"('station0', 11)",55.459724948945365,52.08,1145.0
RecoveringLoss,"('station0', 12)",54.6594186567978,51.64,1245.0
RecoveringLoss,"('station0', 13)",49.95595602648795,51.16,1345.0
RecoveringLoss,"('station0', 14)",39.91806457298753,50.4,1445.0
RecoveringLoss,"('station0', 15)",38.12759487763563,50.28,1545.0
RecoveringLoss,"('station0', 16)",38.05378200642037,50.08,1645.0
RecoveringLoss,"('station0', 17)",38.247037442935145,50,1745.0
RecoveringLoss,"('station0', 18)",38.011842589902116,50.12,1845.0
RecoveringLoss,"('station0', 19)",25.080461541898668,32.84,1945.0
Point2Point,"('station0', 0)",33.8,1,55.32
Point2Point,"('station0', 1)",34.8,1,155.32
Point2Point,"('station0', 2)",41.84,1,255.32
Point2Point,"('station0', 3)",40.64,1,355.32
Point2Point,"('station0', 4)",33.76,1,455.32
Point2Point,"('station0', 5)",35.92,1,555.32
Point2Point,"('station0', 6)",30.52,1,655.32
Point2Point,"('station0', 7)",34.84,1,755.32
Point2Point,"('station0', 8)",39.72,1,855.32
Point2Point,"('station0', 9)",35.4,1,955.32
Point2Point,"('station0', 10)",37.68,1,1055.32
Point2Point,"('station0', 11)",38.92,0.96,1155.32
Point2Point,"('station0', 12)",45.56,1,1255.32
Point2Point,"('station0', 13)",26.08,0.96,1355.32
Point2Point,"('station0', 14)",30.72,1,1455.32
Point2Point,"('station0', 15)",38.76,1,1555.32
Point2Point,"('station0', 16)",38.04,1,1655.32
Point2Point,"('station0', 17)",41.24,1,1755.32
Point2Point,"('station0', 18)",39.04,0.96,1855.32
Point2Point,"('station0', 19)",11.8,0.64,1955.32
GroupCommunication,"('station0', 0)",139.07690024001366,19.44,49.16
GroupCommunication,"('station0', 1)",128.4512329411972,19.36,149.16
GroupCommunication,"('station0', 2)",103.22856872573591,18.52,249.16
GroupCommunication,"('station0', 3)",98.00667545568952,17.24,349.16
GroupCommunication,"('station0', 4)",77.40741864970106,18.36,449.16
GroupCommunication,"('station0', 5)",70.60593193462586,18.08,549.16
GroupCommunication,"('station0', 6)",85.05535593309789,18.2,649.16
GroupCommunication,"('station0', 7)",78.51855312144221,17.88,749.16
GroupCommunication,"('station0', 8)",58.68209205900067,18.08,849.16
GroupCommunication,"('station0', 9)",66.84009812650372,19.2,949.16
GroupCommunication,"('station0', 10)",64.58910012777042,18,1049.16
GroupCommunication,"('station0', 11)",54.87162108589576,17.76,1149.16
GroupCommunication,"('station0', 12)",57.439601152264544,18.16,1249.16
GroupCommunication,"('station0', 13)",49.40390586314272,18.2,1349.16
GroupCommunication,"('station0', 14)",42.407005435225216,17.64,1449.16
GroupCommunication,"('station0', 15)",38.83283695860382,18.24,1549.16
GroupCommunication,"('station0', 16)",38.69477093736045,17.28,1649.16
GroupCommunication,"('station0', 17)",37.151276764858814,16.8,1749.16
GroupCommunication,"('station0', 18)",38.90883999082085,17.12,1849.16
GroupCommunication,"('station0', 19)",24.42978968743674,11.76,1949.16
